IDBox;SumViability;NbSeed;PropViability;SumSwell;PropSwell;SumRad;PropRad;SumCot;PropCot;IDPod;Plant;Zone;Zone0;UniqueQuadrat;PosQuadrat;Plan;UniqueGeno;Block;Plate
78;4;6;0.666666666666667;6;1;6;1;5;0.833333333333333;76;L1109_Na314_H5 _8_4_B5;8;8;Z8Q4;B5;Intrapop;Narbonne_H5;1;2
79;4;4;1;4;1;4;1;4;1;77;L1109_Na314_H5 _8_4_B5;8;8;Z8Q4;B5;Intrapop;Narbonne_H5;1;2
80;4;5;0.8;5;1;5;1;4;0.8;78;L1110b_Na326_H5 _8_4_C3;8;8;Z8Q4;C3;Intrapop;Narbonne_H5;1;2
81;3;3;1;3;1;3;1;3;1;79;L1110b_Na326_H5 _8_4_C3;8;8;Z8Q4;C3;Intrapop;Narbonne_H5;1;2
82;3;5;0.6;5;1;5;1;5;1;80;L1107_Na234_H2 _8_4_C4;8;8;Z8Q4;C4;Intrapop;Narbonne_H2;1;2
83;3;5;0.6;5;1;5;1;4;0.8;81;L1107_Na234_H2 _8_4_C4;8;8;Z8Q4;C4;Intrapop;Narbonne_H2;1;2
84;3;4;0.75;4;1;4;1;4;1;82;L1110b_Na326_H5 _8_4_D5;8;8;Z8Q4;D5;Intrapop;Narbonne_H5;1;2
85;3;3;1;3;1;3;1;3;1;82;L1110b_Na326_H5 _8_4_D5;8;8;Z8Q4;D5;Intrapop;Narbonne_H5;1;2
86;5;5;1;5;1;5;1;4;0.8;83;L1110b_Na326_H5 _8_4_D5;8;8;Z8Q4;D5;Intrapop;Narbonne_H5;1;2
87;2;4;0.5;4;1;4;1;4;1;84;L1125_Na657_H8 _8_4_E1;8;8;Z8Q4;E1;Intrapop;Narbonne_H8;1;2
88;3;4;0.75;4;1;4;1;4;1;85;L1113_Na424 _8_4_E4;8;8;Z8Q4;E4;Intrapop;Narbonne_H6;1;2
89;6;6;1;6;1;6;1;6;1;86;L1113_Na424 _8_4_E4;8;8;Z8Q4;E4;Intrapop;Narbonne_H6;1;2
90;3;3;1;3;1;3;1;3;1;87;L1109_Na314_H5 _8_7_A3;8;8;Z8Q7;A3;Intrapop;Narbonne_H5;1;2
91;3;3;1;3;1;3;1;3;1;90;L1086_Na121_H4 _8_7_B3;8;8;Z8Q7;B3;Intrapop;Narbonne_H4;1;2
92;4;5;0.8;5;1;4;0.8;5;1;91;426_A_H11.5 _8_7_B4;8;8;Z8Q7;B4;Intrapop;Narbonne_H11.5;1;2
93;1;1;1;1;1;1;1;1;1;92;L1113_Na424 _8_7_C1;8;8;Z8Q7;C1;Intrapop;Narbonne_H6;1;2
94;5;5;1;5;1;5;1;5;1;93;L1107_Na234_H2 _8_7_C6;8;8;Z8Q7;C6;Intrapop;Narbonne_H2;1;2
95;1;2;0.5;2;1;2;1;2;1;94;L1107_Na234_H2 _8_7_C6;8;8;Z8Q7;C6;Intrapop;Narbonne_H2;1;2
96;2;3;0.666666666666667;3;1;3;1;3;1;95;L1123_Na632_H8 _8_7_D2;8;8;Z8Q7;D2;Intrapop;Narbonne_H8;1;2
97;1;2;0.5;2;1;2;1;2;1;96;269_B_H96 _8_7_D3;8;8;Z8Q7;D3;Intrapop;Narbonne_H96;1;2
98;6;6;1;6;1;6;1;6;1;97;L1105_Na21_H2 _8_7_E1;8;8;Z8Q7;E1;Intrapop;Narbonne_H2;1;2
99;3;3;1;3;1;3;1;3;1;98;L1130_Na1028_H1 _8_7_E4;8;8;Z8Q7;E4;Intrapop;Narbonne_H1;1;2
100;4;5;0.8;5;1;4;0.8;4;0.8;99;L1119_Na545_H50 _8_7_F3;8;8;Z8Q7;F3;Intrapop;Narbonne_H50;1;2
101;1;6;0.166666666666667;6;1;6;1;6;1;100;L1090_Na136_H1 _8_7_F6;8;8;Z8Q7;F6;Intrapop;Narbonne_H1;1;2
102;0;3;0;3;1;3;1;2;0.666666666666667;101;L1119_Na545_H50 _12_7_A2;12;12;Z12Q7;A2;Intrapop;Narbonne_H50;1;2
103;2;3;0.666666666666667;3;1;3;1;3;1;102;L1105_Na21_H2 _12_7_C3;12;12;Z12Q7;C3;Intrapop;Narbonne_H2;1;2
104;4;4;1;4;1;4;1;4;1;103;L1105_Na21_H2 _12_7_D2;12;12;Z12Q7;D2;Intrapop;Narbonne_H2;1;2
105;2;3;0.666666666666667;3;1;3;1;3;1;103;L1105_Na21_H2 _12_7_D2;12;12;Z12Q7;D2;Intrapop;Narbonne_H2;1;2
106;1;1;1;1;1;1;1;1;1;104;L1110b_Na326_H5 _12_7_D6;12;12;Z12Q7;D6;Intrapop;Narbonne_H5;1;2
107;2;2;1;2;1;2;1;2;1;106;L1130_Na1028_H1 _12_7_E2;12;12;Z12Q7;E2;Intrapop;Narbonne_H1;1;2
108;1;2;0.5;2;1;2;1;2;1;107;L1130_Na1028_H1 _12_7_E2;12;12;Z12Q7;E2;Intrapop;Narbonne_H1;1;2
109;1;1;1;1;1;1;1;1;1;108;426_A_H11.5 _12_7_F2;12;12;Z12Q7;F2;Intrapop;Narbonne_H11.5;1;2
110;4;5;0.8;5;1;5;1;5;1;110;L1107_Na234_H2 _12_7_F4;12;12;Z12Q7;F4;Intrapop;Narbonne_H2;1;2
111;3;4;0.75;4;1;4;1;4;1;111;L1090_Na136_H1 _12_10_A1;12;12;Z12Q10;A1;Intrapop;Narbonne_H1;1;2
112;2;3;0.666666666666667;3;1;3;1;3;1;111;L1090_Na136_H1 _12_10_A1;12;12;Z12Q10;A1;Intrapop;Narbonne_H1;1;2
113;1;3;0.333333333333333;3;1;3;1;3;1;112;L1090_Na136_H1 _12_10_A1;12;12;Z12Q10;A1;Intrapop;Narbonne_H1;1;2
114;0;3;0;3;1;3;1;1;0.333333333333333;113;L1110b_Na326_H5 _12_10_A3;12;12;Z12Q10;A3;Intrapop;Narbonne_H5;1;2
115;2;2;1;2;1;2;1;2;1;115;L1109_Na314_H5 _12_10_B2;12;12;Z12Q10;B2;Intrapop;Narbonne_H5;1;2
116;4;4;1;4;1;4;1;4;1;116;L1109_Na314_H5 _12_10_B3;12;12;Z12Q10;B3;Intrapop;Narbonne_H5;1;2
117;2;4;0.5;4;1;3;0.75;3;0.75;118;L1130_Na1028_H1 _12_10_C1;12;12;Z12Q10;C1;Intrapop;Narbonne_H1;1;2
118;3;4;0.75;4;1;4;1;3;0.75;119;L1130_Na1028_H1 _12_10_C1;12;12;Z12Q10;C1;Intrapop;Narbonne_H1;1;2
