IDBox;Plant;Zone;Plan;Quadrat;UniqueQuadrat;PositionQuad;UniqueGeno;IDPod;Block;Plate;PositionPlate;NbSeed;IDSeed;Base;SwellingDate;Swell;RadicleDate;Rad;CotyledonDate;Cot;Viability;SampleDate;Conta;time_flo;L_max_flo;TotalNbPods;NumSeedPlant
20;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;4;17-mai;17-mai;1;20-mai;1;23-mai;1;1;26-mai;;9;5.5;10;41
20;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;5;17-mai;18-mai;0;20-mai;1;22-mai;1;1;26-mai;;9;5.5;10;41
20;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;6;17-mai;17-mai;1;18-mai;1;24-mai;1;0;26-mai;26-mai;9;5.5;10;41
21;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;1;17-mai;18-mai;0;22-mai;1;26-mai;1;1;26-mai;;9;5.5;10;41
21;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;2;17-mai;17-mai;1;;0;26-mai;1;0;26-mai;;9;5.5;10;41
21;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;3;17-mai;18-mai;0;22-mai;1;26-mai;1;1;26-mai;;9;5.5;10;41
21;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;4;17-mai;17-mai;1;22-mai;1;24-mai;1;1;26-mai;;9;5.5;10;41
21;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;23;1;1;1;5;5;17-mai;17-mai;1;;0;26-mai;1;0;26-mai;;9;5.5;10;41
22;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;24;1;1;2;4;1;17-mai;19-mai;0;20-mai;1;25-mai;1;1;26-mai;;9;5.5;10;41
22;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;24;1;1;2;4;2;17-mai;19-mai;0;20-mai;1;24-mai;1;1;26-mai;;9;5.5;10;41
